and_depth,trial,n_vars,n_ands,n_ors,n_nots,peak_mul,peak_conv,peak_gap,peak_ratio,final_mul,final_conv,final_gap,final_ratio,mul_nodes,conv_nodes,mul_peak_supp,conv_peak_supp,has_gap,formula_len
1,0,10,1,21,12,2.984375,2.984375,0.0,1.0,1.984375,1.984375,0.0,1.0,269,269,128,128,0,148
1,1,10,1,12,6,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,155,155,17,17,0,85
1,2,10,1,14,9,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,187,187,33,33,0,104
1,3,10,1,16,6,2.984375,2.984375,0.0,1.0,1.9375,1.9375,0.0,1.0,195,195,128,128,0,105
1,4,10,1,15,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,193,193,9,9,0,106
1,5,10,1,15,12,2.984375,2.984375,0.0,1.0,1.875,1.875,0.0,1.0,209,209,128,128,0,118
1,6,10,1,14,9,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,187,187,2,2,0,104
1,7,10,1,20,12,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,259,259,32,32,0,143
1,8,10,1,15,8,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,193,193,16,16,0,106
1,9,10,1,18,8,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,223,223,33,33,0,121
1,10,10,1,18,13,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,243,243,16,16,0,136
1,11,10,1,18,10,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,231,231,16,16,0,127
1,12,10,1,23,14,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,297,297,64,64,0,164
1,13,10,1,9,4,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,117,117,9,9,0,64
1,14,10,1,17,13,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,233,233,17,17,0,131
1,15,10,1,26,10,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,311,311,64,64,0,167
1,16,10,1,18,14,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,247,247,16,16,0,139
1,17,10,1,17,13,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,233,233,17,17,0,131
1,18,10,1,13,7,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,169,169,16,16,0,93
1,19,10,1,25,14,2.99609375,2.99609375,0.0,1.0,1.99609375,1.99609375,0.0,1.0,317,317,512,512,0,174
1,20,10,1,20,8,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,243,243,64,64,0,131
1,21,10,1,8,5,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,111,111,33,33,0,62
1,22,10,1,10,5,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,131,131,32,32,0,72
1,23,10,1,11,4,2.9609375,3.1796875,-0.21875,0.931204,2.9609375,3.1796875,-0.21875,0.931204,137,137,164,256,1,74
1,24,10,1,13,5,3.1533203125,2.984375,0.1689453125,1.05661,3.1533203125,2.8515625,0.3017578125,1.105822,161,161,1024,128,1,87
1,25,10,1,19,10,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,241,241,64,64,0,132
1,26,10,1,16,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,203,203,9,9,0,111
1,27,10,1,11,3,2.96875,2.96875,0.0,1.0,1.984375,1.984375,0.0,1.0,133,133,65,65,0,71
1,28,10,1,16,11,2.96875,2.96875,0.0,1.0,1.984375,1.984375,0.0,1.0,215,215,65,65,0,120
1,29,10,1,19,11,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,245,245,32,32,0,135
1,30,10,1,8,5,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,111,111,9,9,0,62
1,31,10,1,13,9,2.96875,2.96875,0.0,1.0,1.875,1.875,0.0,1.0,177,177,64,64,0,99
1,32,10,1,12,9,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,167,167,9,9,0,94
1,33,10,1,20,13,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,263,263,65,65,0,146
1,34,10,1,21,15,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,281,281,9,9,0,157
1,35,10,1,12,10,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,171,171,17,17,0,97
1,36,10,1,20,13,2.5,2.5,0.0,1.0,1.0,1.0,0.0,1.0,263,263,4,4,0,146
1,37,10,1,16,8,2.9921875,2.9921875,0.0,1.0,1.9375,1.9375,0.0,1.0,203,203,256,256,0,111
1,38,10,1,15,9,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,197,197,17,17,0,109
1,39,10,1,11,4,2.9375,2.9375,0.0,1.0,1.9375,1.9375,0.0,1.0,137,137,32,32,0,74
1,40,10,1,17,8,2.9375,2.9375,0.0,1.0,1.9375,1.9375,0.0,1.0,213,213,33,33,0,116
1,41,10,1,11,6,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,145,145,64,64,0,80
1,42,10,1,16,8,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,203,203,17,17,0,111
1,43,10,1,16,12,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,219,219,16,16,0,123
1,44,10,1,13,9,2.984375,2.984375,0.0,1.0,2.87109375,2.8359375,0.03515625,1.012397,177,177,129,129,1,99
1,45,10,1,22,6,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,255,255,17,17,0,135
1,46,10,1,12,7,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,159,159,9,9,0,88
1,47,10,1,23,15,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,301,301,9,9,0,167
1,48,10,1,17,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,213,213,8,8,0,116
1,49,10,1,19,12,2.9921875,2.9921875,0.0,1.0,1.9921875,1.9921875,0.0,1.0,249,249,256,256,0,138
1,50,10,1,18,11,2.96875,2.96875,0.0,1.0,1.984375,1.984375,0.0,1.0,235,235,65,65,0,130
1,51,10,1,15,5,3.275390625,3.55078125,-0.275390625,0.922442,3.275390625,3.55078125,-0.275390625,0.922442,181,181,512,512,1,97
1,52,10,1,18,12,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,239,239,16,16,0,133
1,53,10,1,16,7,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,199,199,64,64,0,108
1,54,10,1,20,9,2.99609375,2.99609375,0.0,1.0,1.0,1.0,0.0,1.0,247,247,512,512,0,134
1,55,10,1,19,10,2.96875,2.96875,0.0,1.0,1.96875,1.96875,0.0,1.0,241,241,64,64,0,132
1,56,10,1,16,12,2.96875,3.1796875,-0.2109375,0.933661,2.9609375,3.1796875,-0.21875,0.931204,219,219,64,256,1,123
1,57,10,1,10,7,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,139,139,17,17,0,78
1,58,10,1,16,9,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,207,207,9,9,0,114
1,59,10,1,15,9,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,197,197,33,33,0,109
1,60,10,1,12,4,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,147,147,9,9,0,79
1,61,10,1,19,11,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,245,245,32,32,0,135
1,62,10,1,19,14,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,257,257,17,17,0,144
1,63,10,1,18,9,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,227,227,17,17,0,124
1,64,10,1,22,15,2.99609375,2.99609375,0.0,1.0,1.0,1.0,0.0,1.0,291,291,512,512,0,162
1,65,10,1,20,12,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,259,259,2,2,0,143
1,66,10,1,13,9,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,177,177,33,33,0,99
1,67,10,1,13,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,173,173,9,9,0,96
1,68,10,1,11,9,2.9375,2.9375,0.0,1.0,1.96875,1.96875,0.0,1.0,157,157,33,33,0,89
1,69,10,1,16,11,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,215,215,33,33,0,120
1,70,10,1,23,13,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,293,293,16,16,0,161
1,71,10,1,16,4,2.984375,2.984375,0.0,1.0,1.984375,1.984375,0.0,1.0,187,187,128,128,0,99
1,72,10,1,19,10,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,241,241,9,9,0,132
1,73,10,1,12,6,2.875,2.875,0.0,1.0,1.875,1.875,0.0,1.0,155,155,17,17,0,85
1,74,10,1,11,8,2.9375,2.9375,0.0,1.0,1.9375,1.9375,0.0,1.0,153,153,32,32,0,86
1,75,10,1,22,10,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,271,271,32,32,0,147
1,76,10,1,13,7,2.9921875,2.9921875,0.0,1.0,1.9921875,1.9921875,0.0,1.0,169,169,256,256,0,93
1,77,10,1,13,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,173,173,9,9,0,96
1,78,10,1,18,12,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,239,239,17,17,0,133
1,79,10,1,21,12,2.984375,2.984375,0.0,1.0,1.0,1.0,0.0,1.0,269,269,129,129,0,148
1,80,10,1,11,9,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,157,157,16,16,0,89
1,81,10,1,11,10,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,161,161,17,17,0,92
1,82,10,1,21,12,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,269,269,64,64,0,148
1,83,10,1,22,17,2.9921875,2.9921875,0.0,1.0,1.9921875,1.9921875,0.0,1.0,299,299,256,256,0,168
1,84,10,1,11,9,2.96875,2.96875,0.0,1.0,2.90625,2.8046875,0.1015625,1.036212,157,157,64,64,1,89
1,85,10,1,16,6,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,195,195,65,65,0,105
1,86,10,1,11,11,3.515625,3.515625,0.0,1.0,3.515625,3.515625,0.0,1.0,165,165,256,256,0,95
1,87,10,1,13,7,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,169,169,16,16,0,93
1,88,10,1,21,17,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,289,289,65,65,0,163
1,89,10,1,11,7,2.9375,2.9375,0.0,1.0,1.75,1.75,0.0,1.0,149,149,33,33,0,83
1,90,10,1,9,5,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,121,121,17,17,0,67
1,91,10,1,13,4,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,157,157,17,17,0,84
1,92,10,1,17,8,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,213,213,17,17,0,116
1,93,10,1,19,10,2.96875,2.96875,0.0,1.0,1.984375,1.984375,0.0,1.0,241,241,64,64,0,132
1,94,10,1,20,8,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,243,243,17,17,0,131
1,95,10,1,21,8,2.9921875,2.9921875,0.0,1.0,1.9921875,1.9921875,0.0,1.0,253,253,256,256,0,136
1,96,10,1,17,12,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,229,229,9,9,0,128
1,97,10,1,16,10,2.875,2.875,0.0,1.0,1.5,1.5,0.0,1.0,211,211,17,17,0,117
1,98,10,1,19,13,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,253,253,32,32,0,141
1,99,10,1,18,10,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,231,231,9,9,0,127
1,100,10,1,15,9,2.875,2.875,0.0,1.0,1.9375,1.9375,0.0,1.0,197,197,16,16,0,109
1,101,10,1,20,10,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,251,251,65,65,0,137
1,102,10,1,16,6,2.96875,2.96875,0.0,1.0,1.9375,1.9375,0.0,1.0,195,195,64,64,0,105
1,103,10,1,12,6,2.75,2.75,0.0,1.0,1.875,1.875,0.0,1.0,155,155,9,9,0,85
1,104,10,1,17,8,2.75,2.75,0.0,1.0,1.0,1.0,0.0,1.0,213,213,8,8,0,116
1,105,10,1,24,12,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,299,299,32,32,0,163
1,106,10,1,26,11,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,315,315,33,33,0,170
1,107,10,1,24,12,2.9375,2.9375,0.0,1.0,1.0,1.0,0.0,1.0,299,299,33,33,0,163
1,108,10,1,20,15,2.96875,2.96875,0.0,1.0,1.0,1.0,0.0,1.0,271,271,65,65,0,152
1,109,10,1,18,12,2.875,2.875,0.0,1.0,1.0,1.0,0.0,1.0,239,239,17,17,0,133
